    #,     Theta,  TwoTheta, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,    Temp1,    Temp2,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,   gkadc1,   gkadc2,     kpow
  362,      1.81,      3.62,     1042,   256299,   1.0000,    22355,      240,     0000, 0.004065564,        0,        0,     1042,   128570,   128158,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  363,     1.815,      3.63,      977,   256342,   1.0000,    22352,      240,     0000, 0.0038113146,        0,        0,      977,   128639,   128042,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  364,      1.82,      3.64,      989,   256425,   1.0000,    22361,      241,     0000, 0.0038568782,        0,        0,      989,   128648,   128097,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  365,     1.825,      3.65,      994,   256276,   1.0000,    22360,      240,     0000, 0.0038786309,        0,        0,      994,   128725,   128032,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  366,      1.83,      3.66,      980,   256377,   1.0000,    22352,      239,     0000, 0.0038224958,        0,        0,      980,   128780,   127880,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  367,     1.835,      3.67,      928,   256318,   1.0000,    22362,      239,     0000, 0.0036205027,        0,        0,      928,   128676,   128030,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  368,      1.84,      3.68,      888,   256270,   1.0000,    22368,      239,     0000, 0.0034650954,        0,        0,      889,   128529,   128187,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  369,     1.845,      3.69,      848,   256400,   1.0000,    22362,      239,     0000, 0.0033073323,        0,        0,      848,   128508,   128197,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  370,      1.85,       3.7,      846,   256384,   1.0000,    22367,      239,     0000, 0.0032997379,        0,        0,      847,   128530,   128252,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  371,     1.855,      3.71,      820,   256416,   1.0000,    22360,      239,     0000, 0.0031979284,        0,        0,      820,   128538,   128227,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
