    #,     Theta,  TwoTheta, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,    Temp1,    Temp2,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,   gkadc1,   gkadc2,     kpow
   26,     0.156,     0.312,        0,      142,   0.3000,    53870,      236,     1100,        0,        0,        0,        1,    55581,    55374,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   222124,   488029,   321217,   531749,     1075,     1264,  1345611,     1235,     1257,   471676,   818240,  2060439,     1022,      965,   268342,   510154,        0,        0,        0
   27,     0.162,     0.324,        0,      142,   0.3000,    53853,      236,     1100,        0,        0,        0,        1,    55538,    55378,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   224262,   493590,   319776,   546652,     1098,     1335,  1364716,     1322,     1492,   413197,   848551,  2081698,     1065,     1085,   205477,   534754,        0,        0,        0
   28,     0.168,     0.336,        0,      141,   0.3000,    53829,      236,     1100,        0,        0,        0,        0,    55494,    55382,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   226181,   496859,   311131,   551421,     1133,     1433,  1364218,     1528,     1637,   340975,   864712,  2063785,     1187,     1187,   145843,   548947,        0,        0,        0
   29,     0.174,     0.348,        0,      143,   0.3000,    53843,      235,     1100,        0,        0,        0,        0,    55537,    55361,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   222212,   489847,   291708,   557607,     1228,     1555,  1344048,     1663,     1845,   261766,   890906,  2009034,     1325,     1295,    99217,   572276,        0,        0,        0
   30,      0.18,      0.36,        0,      141,   0.3000,    53844,      235,     1100,        0,        0,        0,        0,    55530,    55366,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   213085,   470132,   252681,   556010,     1247,     1581,  1283511,     1752,     1899,   181784,   912411,  1901043,     1431,     1325,    67228,   593768,        0,        0,        0
   31,     0.186,     0.372,        0,      142,   0.3000,    53875,      236,     1100,        0,        0,        0,        0,    55538,    55420,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   194554,   429797,   192316,   543589,     1109,     1426,  1169986,     1686,     1797,   129576,   917615,  1755094,     1442,     1348,    43498,   608378,        0,        0,        0
   32,     0.192,     0.384,        0,      141,   0.3000,    53875,      235,     1100,        0,        0,        0,        0,    55578,    55386,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   162488,   356927,   135102,   508730,     1095,     1205,  1004585,     1710,     1684,    95970,   906231,  1563505,     1368,     1359,    23236,   615745,        0,        0,        0
   33,     0.198,     0.396,        0,      143,   0.3000,    53851,      236,     1100,        0,        0,        0,        0,    55610,    55293,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,   118354,   260112,   106959,   448235,      794,      970,   818471,     1434,     1527,    60840,   891577,  1338303,     1301,     1403,    10543,   626447,        0,        0,        0
   34,     0.204,     0.408,        0,      142,   0.3000,    53877,      235,     1100,        0,        0,        0,        1,    55539,    55413,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    83967,   185531,    83778,   350191,      630,      705,   621981,     1311,     1279,    28036,   843495,  1076415,     1313,     1241,     6174,   624903,        0,        0,        0
   35,      0.21,      0.42,        0,      141,   0.3000,    53903,      235,     1100,        0,        0,        0,        1,    55594,    55414,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,    69740,   153687,    49195,   246358,      425,      556,   450982,      905,     1003,     9051,   763335,   820913,     1089,     1196,     6476,   619821,        0,        0,        0
