    #,     Theta,  TwoTheta, Detector,  Monitor,  Seconds,       I0,       I2,    Foils, Normalized,    Temp1,    Temp2,      ch5,      ch6,      ch7,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     TEMP,   TTIMER,    CTEMP,    Timer,   gkcnt1,   gkcnt2,  keith_I,  keith_V,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,   gkadc1,   gkadc2,     kpow
  125,     0.625,      1.25,    17046,   262395,   1.0000,    21950,      180,     0000, 0.064963128,        0,        0,    17046,   131200,   130698,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  126,      0.63,      1.26,    16305,   262395,   1.0000,    22510,      180,     0000, 0.062139141,        0,        0,    16305,   131234,   130654,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  127,     0.635,      1.27,    15752,   262420,   1.0000,    22624,      180,     0000, 0.060025913,        0,        0,    15753,   131352,   130542,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  128,      0.64,      1.28,    15036,   262293,   1.0000,    22656,      180,     0000, 0.057325205,        0,        0,    15036,   131212,   130666,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  129,     0.645,      1.29,    14433,   262203,   1.0000,    22674,      181,     0000, 0.055045137,        0,        0,    14433,   130985,   130786,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  130,      0.65,       1.3,    14310,   262380,   1.0000,    22689,      182,     0000, 0.054539218,        0,        0,    14310,   131041,   130742,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  131,     0.655,      1.31,    14294,   262353,   1.0000,    22685,      180,     0000, 0.054483844,        0,        0,    14294,   131125,   130721,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  132,      0.66,      1.32,    14594,   262494,   1.0000,    22691,      180,     0000, 0.055597461,        0,        0,    14595,   131172,   130735,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  133,     0.665,      1.33,    15160,   262737,   1.0000,    22706,      181,     0000, 0.057700286,        0,        0,    15160,   131236,   130827,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
  134,      0.67,      1.34,    15600,   262752,   1.0000,    22716,      181,     0000, 0.059371575,        0,        0,    15600,   131248,   130906,        1,        1,        1,        1,        1,        1,        1,        1,        1,        0,        0,        0,        0,        0,        0,        0,        0,       -1,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
